,text
510,Finn says  Nooo! It's my birthday!
511,"Green Knight says  I know. It's my birthday, too."
512,Finn says  Fern?
513,"The Green Knight grabs Finn by his arm and swings him at the table, Finn breaks through the table"
514,"Bubblegum, Marceline, Starchy and Huntress Wizard says  Oh, no! No! Finn!"
515,"Green Knight says  Chuckles Finally, I win! The Green Knight approaches Finn ready to swing his axe at him"
516,Gumbald says  Fern! We've seen enough.
517,Finn says  Groans
518,"Bubblegum, Marceline, Starchy and Huntress Wizard says  Finn! Finn! Finn, are you all right?"
519,"Starchy says  I love you, Finn!"
520,"Huntress Wizard says  Quick, eat this elk's heart."
521,Princess Bubblegum says  What is this?
522,Gumbald says  It's a family reunion.
523,"Princess Bubblegum says  Uncle Gumbald, Cousin Chicle, Aunt Lolly. How are you back?!"
524,"Gumbald says  Here's a hint Mimics Lumpy Space Princess’s voice ""Oh, my glob""."
525,"Princess Bubblegum says  Lumpy Space Princess. Bubblegum remembers happenings from Elements miniseries where LSP reverts Ooo back to normal When she reset Ooo, she reset you."
526,"Gumbald says  For 800 years, you kept us imprisoned, Princezzin."
527,"Princess Bubblegum says  No, you were happier as candy people."
528,Gumbald says  We thought we were. But don't worry it's your turn to be happy now. Get juiced.
529,Marceline in her beast form jumps in front of Bubblegum
530,"Marceline says  Hisses Back off, gumwad!"
531,Gumbald says  The vampire girl is legitimately scary. Very well. You've witnessed our superior technology and watched your champion crushed.
532,Finn says  Vomits
533,Gumbald says  We'll go for now.
534,Green Knight says  Laughs
535,Finn says  This is my worst B-day ever.
536,Everyone says  Singing Happy birthday to you. Happy birthday to you
537,Ice King says  In a seductive feminine tone Happy birthday Mr.Finn Mert-ens
538,Everyone says  Voices reverberate Happy birthday to you.
539,The episode opens outside Tree Trunks' house. Sweet P is playing with a tiny toy digger.
540,"Sweet P says Vroom, vroom! Kshh! Vroom, vroom, vroom!"
541,Tree Trunks says From inside Sweet P!
542,Sweet P says Gasps
543,Tree Trunks drags a huge pot of porridge through the doorway.
544,"Tree Trunks says Come and get it, Sweet P."
545,Sweet P says Oh boy! Breakfast porridge. He walks over and begins eating. Mmm. I think I must have the most perfect life in the whole world.
546,"Tree Trunks says Oh, that's lovely."
547,"Sweet P says What about you, Mama? Is your life perfect?"
548,"Tree Trunks says Me? She looks up at the wind blowing through the apple trees, and tears form in her eyes. Yes, Sweet P. I'm the happiest mama in the whole world."
549,"Sweet P says Oh no, mama! You're sad!"
550,"Tree Trunks says No, no, sweetie. That's just something that happens when grown-ups think about their lives for too long."
551,The phone begins ringing.
552,"Mr. Pig says From inside Honey, can you get that?"
553,"Tree Trunks enters the kitchen, where everything is spattered with oats and porridge. Mr. Pig is frantically stirring another pot. Tree Trunks goes to take the phone call."
554,"Mr. Pig says Thanks, sweetie."
555,Tree Trunks says Answers phone Hello?
556,"Randy says On phone Tree Trunks? Tree Trunks, it's me, Randy. Wow, it's so great to hear your voice."
557,Tree Trunks says Quietly Randy?
558,"Randy says Forgive me for being so bold, but Tree Trunks, I must see you."
559,"Tree Trunks says I don't think that's a very good idea, Randy."
560,"Randy says Tree Trunks, please!"
561,"Tree Trunks says Um, okay, hold on. She hangs up."
562,"Mr. Pig says Who was that, sweetie?"
563,"Tree Trunks says That was, uh, the school. There's a parent-teacher conference I need to go to."
564,Mr. Pig says Really? Isn't it my turn this time?
565,"Tree Trunks says No, because, um... it's my turn...?"
566,"Mr. Pig says Well, if you say so."
567,Tree Trunks says Be back soon.
568,"Mr. Pig says Concerned Okay. Uh, bye."
569,The scene changes. Tree Trunks enters the Tiny Mammal Kingdom and watches a bicyclist pass by.
570,Tree Trunks says The future's wild.
571,"She approaches a diner, where Randy is waiting in a booth. She waves to him through the window, then a flashback begins showing the same diner many years ago. A young Tree Trunks enters the diner and goes to sit with a young Randy."
572,"Randy says We did it, babe. We finally graduated high school."
573,"Tree Trunks says Yes, Randy, we did."
574,"Cookie says Clears throat Tree Trunks, would you sign my yearbook?"
575,"Tree Trunks says I sure will, Cookie. Do you want me to sign on my fencing photo, my Homecoming Queen photo, my horseback riding club photo-"
576,Cookie says Interrupting Would you sign your swim team photo?
577,Tree Trunks says Yes. That's my favorite. She signs the book.
578,"Randy says When you get done with that kid stuff, let me know. I got grown-up stuff to discuss."
579,"Tree Trunks says I was about to say the same thing to you. She hands the yearbook back to Cookie with a wink. Randy, I've decided to take some time for myself and see the world. I'm eighteen and I need adventure, Randy. I need- She notices Randy is climbing down from his chair. What?"
580,Randy drops to one knee and presents a ring.
581,Randy says Baby...
582,Cookie says Gasps and drops her yearbook.
583,Randy says ...let me be your adventure.
584,"Tree Trunks says Okay, why not?"
585,Flash forward to their wedding day. Randy places a ring on Tree Trunk's front foot.
586,"Randy's father says Kiss her, son!"
587,"They kiss. Flash forward again. Randy is looking at the wedding photos while he and Tree Trunks are stood on a dock, preparing to depart on their honeymoon."
588,Randy says Our wedding photos are here. Just in time for the honeymoon. Babe?
589,"Tree Trunks says From the far end of the dock It's over, Randy. I'm a wild child. She dives into the ocean and begins swimming away into the horizon. Goodbye."
590,"The flashback ends, and we return to the present. Tree Trunks and Randy are sat in the diner booth. Tree Trunks is recounting the memories to herself."
591,"Tree Trunks says ""Goodbye, Randy."" Chuckles"
592,Randy says Okay.
593,"Tree Trunks says Hmm? Oh, Randy, I'm so sorry you went to all this trouble."
594,Randy says Huh?
595,"Tree Trunks says I mean, I'm flattered, but I have a family now and I can't run away with you."
596,"Randy says That... Tree Trunks, that's not why I asked you here."
597,Tree Trunks says It's not?
598,Randy says No. I just wanted to ask you for my grandmother's ring back.
599,Tree Trunks says Oh.
600,"Randy says I'm going to propose to my girlfriend this weekend. I've got the chocolates, and the flowers, but I need that ring."
601,"Tree Trunks says Well, I'm sorry, but I threw that ring down a bottomless pit."
602,Randy says Oh no!
603,"Tree Trunks says No, wait, that's not right. I used that ring to propose to my second husband, Danny."
604,"Randy says Oh, no."
605,"Tree Trunks says Sensually Oh, Danny."
606,Another flashback begins. A younger Tree Trunks is sat on the deck of La Femme Du La Mer. She has an eyepatch.
607,"Tree Trunks says Narrating At sea, I made a new life for myself."
608,Tree Trunks says Mr. Faidutti.
609,"Mr. Faidutti says Yes, Captain Tree Trunks."
610,"Tree Trunks says Mr. Faidutti, pick up that mop, you bug."
611,Mr. Faidutti turns around and bends over to pick up the mop.
612,Tree Trunks says Looking at his butt Mm hmm.
613,"Crew member says Captain Tree Trunks, we're approaching a ship off the port bow!"
614,Tree Trunks says Good. She goes to look. Drown all but the tightest men.
615,Danny says Shouting up from a small sailboat No!
616,Tree Trunks says Impudence.
617,"Danny says I beg of you, madam, while I am tight, my brother is not, and yet I love him."
618,Tree Trunks says Hmm.
619,"Danny says My name is Daniel Prince and this is my brother, Peanut. Please look into your heart and pity him, for though our family is quite wealthy, he has had a difficult life. Subtly loosening his shirt You are a very beautiful elephant, but I fear your bandit ways have made you hard."
620,Tree Trunks says Narrating He was right. I left my post that very day so that I could spend the rest of my life with Danny.
621,"Tree Trunks is seen throwing her cutlass at Mr. Faidutti's feet and departing La Femme Du La Mer in Danny's sailboat. She and Danny make out enthusiastically while ""Peanut"" sits beside them. The scene changes to a small island, where Tree Trunks places the ring on Danny's front foot."
622,"Tree Trunks says Narrating That evening, we were wed."
623,"""Peanut"" says Mumbling incoherently, acting as the wedding's officiator. His eye falls out."
624,Tree Trunks says Peanut?
625,"Danny says Distracting her Kiss my mouth, baby!"
626,Tree Trunks says Yeah!
627,"They begin making out again. The scene changes to night. Tree Trunks and Danny are lying in a tent on the island. Danny is asleep. ""Peanut"" is still outside."
628,"Tree Trunks says Narrating My joy, however, would be short-lived. Was Danny smooth? Yes. She leaves the tent. Was Danny tight? Yes. She approaches ""Peanut"". But was he a liar? Yes, yes, yes! She tugs at ""Peanut"", revealing that he is actually two crew members in disguise."
629,Crew members says Ah! Scuttling up a tree Woop woop woop woop woop.
630,Tree Trunks says Narrating A liar in cahoots with Mr. Faidutti to get me away from my ship.
631,She is seen departing the island without Danny and the crew members.
632,"Tree Trunks says Narrating I marooned Danny, and I kaboomed Mr. Faidutti."
633,A violent explosion obliterates La Femme Du La Mer. Tree Trunks is seen sailing away with the wedding ring.
634,Tree Trunks says No more tight men.
635,"The flashback ends, and the scene returns to the diner."
636,"Tree Trunks says That Danny was really, really, really something."
637,"Randy says Okay, I get it. But what about the ring? What happened next?"
638,Tree Trunks says I savvily invested my pirate treasure and became a powerful shipping magnate.
639,"Another flashback begins. Tree Trunks is sat in a luxurious office, overlooking the ocean as cargo ships come and go. There is a knock on the door. Tree Trunks puts in a glass eye and turns to face the door."
640,Tree Trunks says Come in.
641,Wyatt enters with a bouquet of roses.
642,"Wyatt says Uh, I'm Wyatt, your new secretary. These flowers are from ""Robot Body Moe""."
643,"Tree Trunks says Oh, again? Throw those in the trash."
644,"Wyatt says Okay, ma'am. He approaches the trashcan and begins trying to stuff the flowers in head-first. They're a little - a little big. Oh, boy."
645,"Tree Trunks says The other way, like a vase."
646,"Wyatt groans and begins crying, unable to figure out how to get the flowers into the trashcan. He gives up and curls into a ball on the floor, sobbing. Tree Trunks watches him, displaying no emotion."
647,Tree Trunks says Narrating He melted my heart.
648,Flash forward to yet another wedding. Wyatt and Tree Trunks exchange rings.
649,Wyatt says Hey-hey!
650,"King of Ooo, who is officiating the wedding, leans down and shoves them together so that they awkwardly kiss."
651,King of Ooo says Somebody kiss me now!
652,Tree Trunks says Narrating I sold the company and gave all my money to the King of Ooo.
653,Flash forward. Tree Trunks and Wyatt are on the beach together.
654,"Tree Trunks says Swim with me, Wyatt, you sweet boy. She strips naked."
655,"Wyatt says Oh, uh-"
656,Tree Trunks says Laughs I'm never wearing clothes again! She runs into the waves.
657,"Wyatt says I, uh, might keep my shirt on."
658,"Tree Trunks says Narrating I thought Glob had told me, ""Here's someone who needs your love."" But what he really must've said was, ""Go suck an egg, Tree Trunks."""
659,Flash forward. Tree Trunks and Wyatt are in Tree Trunks' current house in the apple orchard. Wyatt reaches for a slice of apple pie but Tree Trunks pulls it away.
660,Tree Trunks says No more pie.
661,Wyatt says But that's my pie.
662,Tree Trunks says You're draining my life away.
663,Wyatt says Yelling anxiously Take care of me!
664,Tree Trunks says No. You've emptied me of my joie de vivre.
665,"Wyatt says Whinging, hitting himself, crying I've got the ring! If I don't give it back, it means we're still in love! He exits the house. I'm throwing it in a bottomless pit!"
666,"Flashback ends. Once more, the scene is back in the diner."
667,Randy says Wyatt threw my ring in a pit?
668,"Tree Trunks says Yeah, sorry about that. Uh- huh?"
669,"A ceiling tile gives way and Mr. Pig comes crashing down onto the table with a scream. He hits his head and falls to the floor, groaning."
670,"Tree Trunks says Mr. Pig, what are you doing here?"
671,Mr. Pig says I followed you because I was afraid that - And now I see you-
672,"Tree Trunks says Oh, no."
673,Randy says I just wanted my grandma's ring back.
674,Tree Trunks says And I just didn't want you to worry over nothing.
675,"Mr. Pig says R-Really? Oh, geez."
676,"Wyatt says There you are! He emerges from a vent. How could you, Tree Trunks?"
677,Tree Trunks says Wyatt? You've been following me?
678,"Wyatt says You wish, babe. I've been following him points at Randy to you! But if Tree Trunks is gonna be stepping out on her man with one of her exes, it's gonna be me! He tries to tackle Randy but slips on a piece of ceiling tile and falls to the ground, groaning. Tree Trunks, help me. I need you."
679,Randy says Spots the ring hanging on a string around Wyatt's neck. My ring! Just give me...
680,Randy pulls the ring out of Wyatt's grasp.
681,Wyatt says My suck-suck ring.
682,"Randy says Aha! Gotcha! He exits, laughing gleefully."
683,"Mr. Pig says Um, I'm sorry I didn't trust you. I just know you've had a lot of adventures in the past and things are kind of boring now."
684,"Tree Trunks says It's true. I sometimes miss those wild times, but back then, I couldn't even tell the difference between a good adventure and a bad one. I was just a leaf in the wind, blown about by my whims. But now I'm on solid ground. You and Sweet P are my - uh-"
685,Mr. Pig says Your greatest adventure?
686,Tree Trunks says Yeah.
687,Danny enters.
688,"Danny says Whoa, what the..? Is that Wyatt? Tree Trunks?"
689,Tree Trunks and Mr. Pig kiss.
690,Danny says What the heck is going on in here?
691,"Peppermint Butler says Swordsmith Deity, from your unseen throne, bless this sword with your mighty hone! This new sword is guaranteed to defend you against Princess Bubblegum's heinous family. Uncle Gumbald!"
692,CLANK
693,Peppermint Butler says Aunt Lolly!
694,CLANK
695,Peppermint Butler says Cousin Chicle!
696,CLANK
697,Jake says I like your swordsmith hat.
698,Peppermint Butler  says I'm wearing it in honor of my special guest.
699,Jake says Am I your special guest?
700,Peppermint Butler says No.
701,Jake says Dang.
702,The sword sizzles as peppermint butler dips it into a bucket of water
703,"Peppermint Butler says This sword will serve you much better than your old, cursed Grass Sword. This sword is also cursed, but it has a compass in the hilt!"
704,Finn says Neat!
705,Peppermint Butler says And now for one more thing; The special guest I now will bring!
706,Peppermint Butler smashes a container of bug milk over a drawing of a PHIL FACE
707,Peppermint Butler says Maloso vobiscum et cum spiritum!
708,Hunson Abadeer emerges from the newly formed flames
709,Finn and Jake says gasps
710,Finn says Hunson Abadeer!
711,"Hunson says Finn the Human! And Jake the Dog! Hey, did Marceline call me-?"
712,Peppermint Butler says It is I who summoned you. I humbly ask you for an infusion of Nightosphere magic upon this sword.
713,Hunson says Okay.
714,"Peppermint Butler says I proclaim this blade Ow! Ow! ""The Night Sword""! Now to send you back."
715,Hunson says Not so fast. It's like I got a free flight here. I'm gonna go see my little girl.
716,"Finn says Back in the hole, Marceline's dad."
717,"Hunson says I'll behave myself. No soul sucking, no evil stuff. I'm trying to be a better person. Maybe it's too late for me, but I'm trying. Oh, I'm so ashamed of the things I've done! crying"
718,"Peppermint Butler says Have some dignity, man! All right. You may leave the circle for one day."
719,Hunson says Wheeeeee! Ha-ha-ha-ha! Time to suck some souls! sucking
720,Peppermint Butler uses the Night Sword to enchant handcuffs on Hunson.
721,"Hunson says Hey, what gives?"
722,Peppermint Butler says Phantom manacles your wrists shall constrain until you're back in your hole again! Finn.
723,Finn says Let's go see Marcy.
724,"Jake says Great sword making, Pep But."
725,"Peppermint Butler says Yo, see you guys at the concert!"
726,"Hunson says  singing Walkin' in ooo, not suckin' out souls Walk, walk, walk, not suck, suck, suck Walk, walk, walk, not suck, suck, suck."
727,"Finn says Hey, could you stop saying that, please?"
728,Hunson says So what's my little monster up to these days? Is she still all goody-goody? Still half-vampire? Started dating anyone?
729,"Finn says Yes, yes, but no, then yes again, and maybe? Look, maybe cool it with the prying around Marceline."
730,"Hunson says Nah, she loves it when I pry."
731,"Chicle says chuckles Oh, Chicle, have you finally discovered the vampire girl's weakness? I think sooo.chuckles Chuckling mode off."
732,"Hunson says whistling ""SHAVE AND A HAIRCUT"" You know, now that we're here, I'm having second thoughts. It just seems like no matter what I do, I always tick that girl off."
733,flashback
734,"Hunson says crashes through Marceline's newly-made bunker Marceline! Long time no see. Some goober with glasses summoned me. What's that thing? Just gonna put this here, okay? Now let's go suck some souls!"
735,Hunson says present day I don't know what it is.
736,"Jake says Finn and Jake drawing a PHIL face to send Hunson back to the Nightosphere Uhh, heh."
737,"Finn says clears throat Psst-psst points to Marceline, who is staring at Hunson through the window."
738,"Marceline says Dad, what are you doing here?"
739,"Hunson says I'm in town for the week, and I don't really have a place to stay, dot, dot, dot."
740,Marceline says Mnh. How many souls did he suck on his way here?
741,"Finn says Oh, I guess like zero. But-"
742,"Hunson says See! I made Finn a cool, new sword and everything!"
743,Marceline says I guess you can crash here.
744,Hunson says Great! Thanks for inviting me.
745,Marceline says That is not what's happening.
746,"Finn says We're gonna jet, Marcy."
747,"Hunson says What?! You just got here. Invite them in, Marceline."
748,Marceline waves them inside
749,Hunson says Do you have a bathroom?
750,"Marceline says Yeah, there's one upstairs."
751,Hunson says I just have to freshen up.
752,Marceline says Is my dad really behaving himself this time?
753,Finn says He's just been singing songs and stuff.
754,"Jake says Yeah, he seems pretty fun for an old guy. Hey, wait a minute... I'm an old guy!"
755,"Hunson says Hey, excuse my unsociableness. There's just one thing; The Venetian blinds in your bathroom kind of jumped out at me and got broken."
756,Marceline says How could you wreck the blinds just by going to the bathroom?
757,Hunson says Let me make it up to you. I've got some soy sauce and some ketchup.
758,Marceline says I'm good.
759,"Hunson says Here's an SD card, some twist ties."
760,Marceline says I don't want any of this junk!
761,Hunson says Hey! I'm gonna need a place to sleep tonight. Do you have an air mattress?
762,Marceline says Yeah.
763,"Hunson says Great! You can sleep on the air mattress, and I'll sleep on your bed."
764,Marceline says It's in the closet.
765,"Hunson says Finn, are you gonna let my little girl blow up that air mattress?"
766,Finn says Not on my watch!
767,"Marceline says Hey, Dad, I think I'm gonna go out for a walk before bedtime."
768,"Finn says But, Marcy don't you have a solo gig tonight?"
769,Marceline says Ss-ss-ss-ss!
770,Jake says I get it. It's air mattress talk. Ss-ss-ss-ss. Aren't you giving a concert tonight? Ss-ss-ss. At the Ghost Amphitheater? Ss-ss-ss.
771,Hunson says Concert? It's a good thing your friends remembered that.
772,"Marceline says Thanks, Jake."
773,Hunson says Let's go!
774,Marceline says sighs
775,Chicle says chuckling
776,"Finn says Do you hear, like, a really stupid-sounding laugh?"
777,Jake says Yes.
778,Chicle says I have a nice laugh.
779,"Finn, Jake, Marceline, and Hunson enter the Cemetery"
780,Chicle says Time to blend in completely unnoticed. He phases into a ghost disguise
781,Unnamed Ghost says gasps
782,"Chicle says Hey, what you got there? Peanuts?"
783,"Marceline says Hello, Hamburger Hills Cemetery!"
784,"Marceline appears in a fog on stage, and the audience cheers and applauds"
785,"Hunson says Marceline! You're doing great, baby!"
786,Marceline says I haven't started yet.sings Slow Dance With You
787,"Hunson says Hey, Pennebaker! No illegal recording unless you're family. Yoink. whispering Just ignore me."
788,Marceline says Dad! You're wrecking the show!
789,Hunson says This is my daughter! I am proud of my punk daughter! I made that!
790,"Jake says Sit down, man!"
791,"Peppermint Butler says Yeah, you're killing the vibe."
792,Hunson says I'm just explaining my part in all this.
793,"Chicle says Ugh. This is terrible. Boo, I say."
794,Ghost says Yeah! Boooo!
795,crowds starts booing
796,"Hunson says Don't worry, honey. I'll work the crowd. Hey, it's me Hunson! I'm happy to field any questions from you dummies."
797,"Chicle says Can you believe Marceline has a bougie trash daddy? I heard this guy even eats ghosts, you know, like us."
798,Ghost says What? Really?!
799,"Hunson says Sure, sometimes."
800,"Ghost says Off the stage, skin sack!"
801,"Hunson says Okay, okay, settle down, pal. Don't make me come out there."
802,"Ghost says What you gonna do ""eat my fries?"""
803,"one of the ghosts spits some ectoplasm into his hand, and throws it at Hunson, but he dodges it and it instead hits Marcline's bass"
804,Marceline says gasps My bass!
805,laughter
806,"Hunson says Come on, ectoplasm comes right off. goes to lick it off"
807,Marceline says Don't! You wreck everything.
808,laughter
809,Hunson jumps out into the crowd to attack the heckling ghosts
810,Ghost says Mad daddy!
811,Hunson says Hammer fist strike!
812,"Chicle says Let's get him, fellas."
813,Hunson says Ha-ha!
814,The ghosts turn red and attack Hunson
815,"Marceline says Dad, quit clowning."
816,"Hunson says Uh, just havin' a little fun.tries to turn his hand into a claw, but is restrained by the handcuffs"
817,"Marceline says Come on, Dad, fight back!"
818,Finn says He can't. Pep Buts bound his powers.
819,Marcline says What?!
820,Hunson says They sassed you.
821,"Finn says Better pop that cork, Peps."
822,Peppermint Butler says All right. All right.
823,"Chicle throws a peanut at peppermint butler's head, which knocks him to the ground"
824,Chicle morphs back into his original form
825,Finn says Chicle!
826,"Chicle says Oh, whoops, was that bad? laughs, and becomes invisible"
827,"The ghosts begin to entrap Hunson. Marceline flings her bass at them, but it phases through."
828,"Ghost says Vampires can't hurt ghosts, stupid."
829,Marceline says the ghosts fully trap the two of them in their tentacle-like arms Shoot.
830,Finn says Finn's turn! Finn uses the night sword to cut Marceline and Hunson free
831,Ghost says Wha?!
832,"Marceline says morphs into a bat monster and flies them away Good night, Hamburger Hills! There will be no encore."
833,Princess Bubblegum says My gracious. I'm so sorry you had to deal with Cousin Chicle's schemes. My family's out of control.
834,Hunson says It's fine. My cool daughter took care of it. And guess what I got from a vendor. pulls out a big shirt with Marcline's face on it It looks too big to me. But they said that's the style now with punk rockers.
835,Marceline says Thanks for standing up for me tonight.
836,"Hunson says I'm bad, but I'm no so bad, right? So when are you gonna have some kids?"
837,Marceline says Dad!
838,"The episode opens in the Tree House. Finn, Jake, and Kim Kil Whan are sat in silence for an awkward amount of time."
839,"Kim Kil Whan says Clears throat Okay, so here's what happened. I had sent my top employee, Rennie Hamlin, to check on one of my properties..."
840,A flashback begins. Kil Whan is on the phone to Rennie.
841,"Rennie says Okay, boss, I'm here now."
842,Kim Kil Whan says Narrating ...Joshua and Margaret Investigations!
843,"Rennie says Yep, there's definitely been a break-in."
844,Kim Kil Whan says Check out the damage. I'll call you back in thirty seconds.
845,"He hangs up. Rennie approaches the property and enters through the front door. A few seconds later, he emerges looking mortified. His phone rings."
846,Kim Kil Whan says Over the phone Rennie?
847,Rennie says Stammering incoherently.
848,The flashback ends and cuts back to the Tree House.
849,Kim Kil Whan says And he's been like this ever since.
850,"Kim Kil Whan teleports Rennie into the room, where he is still stammering from whatever frightened him. He is teleported away again."
851,Finn says Poor guy.
852,"Kim Kil Whan says Something terrifying has taken residence in Joshua and Margaret's old office, and it's not paying rent. So I want you guys to find out what it is and get it out."
853,"Jake says Yes, sir, son!"
854,"Kim Kil Whan says You have one hour! Bye, dad. He teleports out."
855,Jake says I wonder what it could be.
856,"Finn says Maybe it's a gross rotting fish gob with long, slimy tentacles."
857,Jake says Maybe it's a teenage silverware werewolf squatter.
858,"Finn says Hey, you know what it could be? It could be a ghost. I think I saw a ghost there when I was a baby. Maybe it's like a ghost hotspot."
859,"Jake says Ghosts, huh? Whoa, wait! What if it's..."
860,Finn and Jake says Together Ghost Mom and Dad!
861,Finn says I have to brush my hair!
862,Jake says I'll go get tulips for Mom!
863,"The scene changes. Finn and Jake approach the old office. Finn is wearing a tie over his regular clothes, and Jake has some flowers."
864,"Jake says Man, I've never been this excited about ghosts before."
865,Finn says This could be one more chance to tell Mom and Dad how much we love them.
866,Jake says And show 'em that their kids are awesome.
867,"They high five, then enter."
868,"Jake says Hello? Ghosts? If you're in here, please vacate my son's property!"
869,Finn says Unless you're Mom and Dad ghosts!
870,"Jake says Yeah, in that case, I brought flowers!"
871,Finn says Look. There's the broken window. But I don't see any signs of squatters... or ghosts.
872,Jake says Pots the flowers I'll sniff 'em out. Sniffing
873,"Finn says Hey Jake, why don't we own this place?"
874,Jake says I dunno. Kim Kil Whan is a good businessman. Plus I'd feel kinda weird dealing with this stuff.
875,"Finn says Yeah. Just looking at all this is like, ""Whoa, memories!"" Like this ticker tape machine. Remember when Mom and Dad brought us to work and we made a fort of ticker tape?"
876,Jake says It was right over there! And over here you gave me a wet willie one time.
877,Finn says Ew. No I didn't.
878,"Jake says Right. I know you believe that's true, but memories distort over time. Classic false memory syndrome."
879,Finn says Maybe you're the one with a false memory syndrome.
880,Jake says Classic false memory syndrome response.
881,They hear a ticking sound.
882,Finn says You hear that? Can you use your dog powers to locate that sound?
883,"Jake says With enlarged ears Way ahead of you, pal. Uh... over there! He runs over to the bathroom and barges in. Aha! There's nothing there, and the ticking has stopped."
884,Finn says Anything?
885,"Jake says Nope. This is a nice bathroom, though. Man, this whole office is nice. It's kinda bunk how Mom and Dad stopped using it."
886,"Finn says Yeah, it's weird that they had this whole other life, and they just dropped it for us babies."
887,Jake says We were babies forever.
888,"Finn says Man, we suck."
889,"Jake says Exiting the bathroom Yeah, but they knew what they were getting into. Whoa! Who moved the sofa? Who put forth those chairs?! Who set the table?! What's going on?!"
890,Finn says This griz is poltergeist biz.
891,Jake says But I don't want that.
892,"Finn says Embrace the paranormal, bro. Examining the candles on the dining table Are these candles real or poltergeist mind-tricks?"
893,Jake says Look!
894,A video tape on the bookshelf rattles and falls to the ground.
895,Finn and Jake says Together Poltergeist!
896,"The scene changes. Finn and Jake have found a video player and are watching the tape. The video begins, revealing Joshua. Behind the camera is Margaret."
897,"Margaret says Ooh, goody. It's on now, dear."
898,"Joshua says Well done, Margaret, love."
899,Finn and Jake says Together Dad!
900,"Joshua says Hello, future people. I'm Joshua of Joshua and Margaret Investigations, and behind the camera you have my lovely wife and partner, Margaret."
901,Margaret says Hello.
902,"Joshua says We're making this tape to document the strange phenomena in our new office. Like this weird message spelled out in- Joshua accidentally tramples the message. Oh, applesauce."
903,"Margaret says You've really stepped in it now, darling."
904,"Joshua says Indubitably. But something is definitely trying to chat us up, and we're gonna catch it on film. I got this fancy ghost-hunting doohickey. It's supposed to record EVPs and such. The ticking is heard, and Joshua gasps. A ghostly silhouette appears behind him."
905,"Margaret says Gracious, there it is!"
906,Joshua says Margaret! Margaret! There's another one over here!
907,Another ghost charges out of the bathroom and throws a chair into the camera. Margaret screams and the video cuts out.
908,Finn says Dude! This place is full of ghosts! We should split up and see if we can get them to appear.
909,Jake says I'll take the bathroom!
910,"Finn says That's the spirit. Hmm. ""Spirit."""
911,The sun sets and the scene turns to night.
912,"Finn says Maybe Mom and Dad left some books about ghost hunting. Hmm. He examines some of the books on the shelf, then hears the ticking again. A ghost appears from around the corner."
913,"Finn says Gasps A ghost! The ghost fades away. It seems like the ticking precedes each ghost encounter. Okay, Finn, what ticks? Metronomes, bombs, pencils..."
914,"Cut to the bathroom, where Jake is cowering in fear, his teeth chattering."
915,Jake says The bathroom is a lot scarier than I was expecting.
916,"The ticking is heard, and then a ghost barges into the bathroom in the same manner that Jake did earlier. Jake screams, then the scene cuts back to Finn."
917,"Finn says ...hearts, egg timers, typewriters."
918,"Jake runs through the room and throws the chairs out of his way, just like the ghost on the tape."
919,"Finn says What else? The ticking is heard, and three small ghosts appear next to Finn. Whoa, lil' ghost babies! Wait, that's baby Jermaine! And baby Jake! And baby me!"
920,Baby Jake says Babababa!
921,Baby Jake hits Baby Finn playfully and giggles.
922,Finn says Chuckles Oh yeah?
923,Current Finn gives Baby Jake a wet willie.
924,Baby Jake says Oh! Yip! Yip! Yip! Yip!
925,"Finn says Laughs Oh, snap. I guess it was me. Hold on. These babies ain't ghoulish ghosts at all. They're like time... disto...to...morphs? Hmm."
926,"The scene changes. Jake emerges from the kitchen, with a makeshift suit of armor made of frying pans."
927,"Jake says Scared? No way! I'm primitive! I'm real! Ghosts, you can't touch this dog! You've got ethereal hands! I'm alive! I'm filled with hot blood! You'll never see through me! He bursts into the bathroom again. Gotcha, ghoul!"
928,"Instead of the same bathroom as before, the room is instead furnished with futuristic decor. A mole man is sat on a sci-fi toilet reading a newspaper."
929,Mole Man says Pardon?
930,"Jake says Aah! Oh, sorry for interrupting your poop. Jake exits, takes a second to process what he just saw, and then re-enters with his eyes covered. Hey, sorry again, man, but I have a qu- Gasps"
931,"The design of the room has changed again, this time to contain fancy nineteenth century decor. A human woman in a dress is powdering her face."
932,Woman says Screams
933,"Jake says Screams and exits again. I gotta get out of here! No, Jake. You gotta stay for your boy Kim Kil Whan. Ghost! Quit freeloading off my son! Barging into the bathroom one more time. That's a father's job. The bathroom is back to normal, but Jake hears Joshua's voice from the window."
934,"Joshua says Strained Margaret, stay away!"
935,Jake says Huh? He looks out the window.
936,Joshua says Something's about to happen!
937,Jake says Dad?
938,The scene cuts back to Finn and the babies.
939,"Finn says So, I can see you, and you can see me. And we're occupying the same space now. So this time stuff must be getting more intense. The shape-shifter appears at the window. Whoa!"
940,"Baby Jake says Straining Farts loudly, his diaper sagging downward Sighs with relief"
941,"Finn says Sniffs the air Holds Baby Jake away Aw, dude! You couldn't wait until you were back in your own time?"
942,The shape-shifter stares inside at Baby Jake and exhales on the glass.
943,"Finn says Hey, creeper, stop creepin' on baby Jake! The shape-shifter exits, and the babies disappear. Baby Jake?"
944,"Jake says Enters Finn! I'm freaking out, man! I just saw the most messed-up thing!"
